year,Wet Storage,Dry Storage,Repository,Reprocessed Fuel
2000,601.3333333333,2494.6798245614,3039.4736842105,-0.6666666667
2001,481.0666666667,3336.0921052632,3315.7894736842,-0.4666666667
2002,360.8,3823.9192982456,3592.1052631579,-0.35
2003,240.5333333333,4081.9903508772,3868.4210526316,-0.5666666667
2004,120.2666666667,4189.7219298246,4144.7368421053,-0.1166666667
2005,0,4146.801754386,4421.052631579,-0.4166666667
2006,0,3953.4754385965,4697.3684210526,0.1166666667
2007,0.375,3821.4473684211,4973.6842105263,0.0333333333
2008,4,3715.4798245614,5250,0.0333333333
2009,10.5416666667,3562.0078947369,5526.3157894737,0.0333333333
2010,22.625,3369.4175438597,5802.6315789474,-0.05
2011,42.4833333333,3181.4552631579,6078.9473684211,-0.0833333333
2012,52.4333333333,3011.1280701754,6355.2631578947,-0.0833333333
2013,55.1916666667,2858.2385964912,6631.5789473684,0.25
2014,57.025,2718.2640350877,6907.8947368421,-0.0833333333
2015,66.65,2586.9456140351,7184.2105263158,0.25
2016,85.6666666667,2447.0333333333,7460.5263157895,249.7166666667
2017,116.05,2171.9166666667,7736.8421052632,249.8
2018,155.75,1640,9500,519.8
2019,199.9833333333,1060.5333333333,12250,410.8
2020,244.925,615.5315789474,14186.8421052632,424.3833333333
2021,289.5583333333,307.0157894737,15560.5263157895,502.3333333333
2022,334.0416666667,135.2421052632,16371.0526315789,680.2333333333
2023,376.5166666667,96.9166666667,16618.4210526316,987.95
2024,426.325,145.6929824561,16552.6315789474,1340.7833333333
2025,471.1833333333,204.7763157895,16473.6842105263,1656.4333333333
2026,519.575,274.3640350877,16381.5789473684,1877.2833333333
2027,609.4416666667,353.4780701754,16276.3157894737,2030.9
2028,668.4833333333,442.899122807,16157.8947368421,2128.0666666667
2029,760.1833333333,542.4912280702,16026.3157894737,2199.9
2030,903.225,652.0263157895,15881.5789473684,2271.1166666667
2031,1056.4833333333,771.0745614035,15723.6842105263,2347.7166666667
2032,1087.2333333333,901.1973684211,15552.6315789474,2435.0666666667
2033,1016.6666666667,1042.2368421053,15368.4210526316,2531.8333333333
2034,1129.175,1195.3815789474,15171.0526315789,2636.1166666667
2035,1061.275,1358.9342105263,14960.5263157895,2744.2166666667
2036,1010.5333333333,1532.5701754386,14736.8421052632,2864.6166666667
2037,876.8916666667,1717.5438596491,14500,2745.9166666667
2038,825.25,1913.701754386,14250,2894.3166666667
2039,672.6583333333,2458.7894736842,12500,2743.45
2040,523.3416666667,3232.052631579,9500,3054.6166666667
2041,401.8083333333,3899.0552631579,7300,3290.0166666667
2042,394.15,4286.6754385965,5650,3503.4166666667
2043,433.2333333333,4589.050877193,4550,3686.7166666667
2044,396.3166666667,4822.3359649123,4000,3780.6333333333
2045,323.1416666667,4883.098245614,3750,3822.0833333333
2046,291.875,4895.4631578947,3500,3849.7166666667
2047,321.8583333333,4921.9956140351,3250,3876.3666666667
2048,292.075,4978.4070175439,3000,3905.6833333333
2049,305.4583333333,4982.3122807018,2750,3932.6
2050,349.7333333333,4982.6140350877,2500,3964.3333333333
2051,363.8,5042.3175438597,2250,3989.9666666667
2052,292.9833333333,5143.9912280702,2000,4018.5
2053,297.9083333333,5267.048245614,1750,4044.8166666667
2054,283.7416666667,5343.3385964912,1500,4072.0833333333
2055,358.1833333333,5350.8692982456,1250,4099.4333333333
2056,435.7333333333,5397.2236842105,1000,4126.15
2057,482.9416666667,5457.7184210526,750,4153.15
2058,534.1666666667,5511.8359649123,500,4178.15
2059,598.0416666667,5571.1456140351,250,4202.6666666667
2060,643.8666666667,5666.8833333333,0,4283.5833333333
2061,697,5750.15,0,4298.6
2062,784.2333333333,5832.7201754386,0,4313.35
2063,855.1166666667,5928.701754386,0,4322.95
2064,904.1666666667,6033.6114035088,0,4336.0333333333
2065,952.2916666667,6156.8912280702,0,4347.35
2066,980.5083333333,6290.6649122807,0,4357.4
2067,993.2916666667,6432.7964912281,0,4370.0166666667
2068,1001.275,6574.5289473684,0,4378.9
2069,1005.8583333333,6722.5175438597,0,4391.7666666667
2070,1005.5583333333,6873.8535087719,0,4402.5
2071,1012.35,7032.5114035088,0,4414.25
2072,1016.7583333333,7211.9228070176,0,4425.7
2073,1021.7416666667,7388.8596491228,0,4439.35
2074,1059.4,7561.9219298246,0,4452.4833333333
2075,1083.2166666667,7743.1763157895,0,4464.7833333333
2076,1121.4666666667,7922.6763157895,0,4475.3833333333
2077,1176.5833333333,8097.6368421053,0,4487.8666666667
2078,1244.5416666667,8267.7166666667,0,4500.8333333333
2079,1310.4333333333,8440.7201754386,0,4514.75
2080,1375.8333333333,8616.8122807018,0,4535.65
2081,1421.9583333333,8801.1938596491,0,4518.1833333333
2082,1455.575,8993.0640350877,0,4591.3666666667
2083,1477.0166666667,9202.5578947369,0,4537.5333333333
2084,1490.8416666667,9419.002631579,0,4614.2166666667
2085,1538.975,9633.1456140351,0,4564.3166666667
2086,1572.0583333333,9850.5307017544,0,4577.4166666667
2087,1643.3,10072.5280701754,0,4565.8666666667
2088,1676.1666666667,10296.1929824561,0,4609.65
2089,1740.75,10513.9675438597,0,4605.05
2090,1852.8916666667,10724.9,0,4710.6666666667
2091,1991.2,10926.5070175439,0,4681.0333333333
2092,2039.3666666667,11116.0640350877,0,4758.4
2093,2013.5,11285.5219298246,0,4720.0833333333
2094,2189.7833333333,11462.7429824561,0,4776.8166666667
2095,2167.6083333333,11644.6438596491,0,4698.45
2096,2177.4,11845.4333333333,0,4780.1333333333
2097,2141.1833333333,12034.8333333333,0,4735.6333333333
2098,2135.2166666667,12149.6,0,4862.2833333333
2099,2097.15,12193,0,4902.7666666667
2100,2105.2166666667,12167.0666666667,0,4942.85
