year,Wet Storage,Dry Storage,Interim Storage,Repository,Total Used Fuel
2000,21176,21570,0,0,42747
2001,22980,21570,0,0,44550
2002,21619,24747,0,0,46366
2003,20806,27394,0,0,48200
2004,20549,29511,0,0,50060
2005,20317,31629,0,0,51946
2006,20091,33747,0,0,53837
2007,19864,35864,0,0,55728
2008,19637,37982,0,0,57619
2009,19410,40099,0,0,59509
2010,19183,42217,0,0,61400
2011,19192,44099,0,0,63291
2012,19270,45912,0,0,65182
2013,19331,47741,0,0,67072
2014,19368,49595,0,0,68963
2015,19388,51475,0,0,70863
2016,19428,53364,0,0,72793
2017,19503,55255,0,0,74758
2018,19608,57146,0,0,76754
2019,19752,58287,750,0,78789
2020,19932,57177,750,3000,80859
2021,20146,56008,750,6000,82964
2022,20392,54779,750,9000,85104
2023,20674,53430,750,12000,87280
2024,20993,51921,750,15000,89499
2025,21346,50178,750,18000,91757
2026,21717,48301,750,21000,94050
2027,22089,46457,750,24000,96383
2028,22744,44645,750,27000,99040
2029,23200,42871,750,30000,101526
2030,23621,41132,750,33000,104012
2031,24540,39428,750,36000,107032
2032,25684,37757,750,39000,110310
2033,26750,36119,750,42000,113557
2034,26793,34521,750,45000,115838
2035,28237,32962,750,48000,119575
2036,28933,31446,750,51000,122626
2037,29893,29967,750,54000,126000
2038,30214,28734,750,57000,128994
2039,30945,27459,750,60000,132399
2040,31543,26893,0,63000,135682
2041,31726,28975,0,63000,138986
2042,31459,31381,0,63000,142198
2043,31682,33815,0,63000,145949
2044,32433,35498,0,63000,149481
2045,32788,38014,0,63000,153447
2046,32651,40364,0,63000,156751
2047,32588,42759,0,63000,160178
2048,33090,44931,0,63000,163951
2049,33251,47281,0,63000,167562
2050,33462,49600,0,63000,171190
2051,33767,51867,0,63000,174871
2052,34254,54036,0,63000,178630
2053,34263,56561,0,63000,182272
2054,34521,59050,0,63000,186123
2055,34395,61810,0,63000,189865
2056,34809,64183,0,63000,193765
2057,35358,66482,0,63000,197730
2058,35673,69067,0,63000,201748
2059,36085,71617,0,63000,205831
2060,36577,74139,0,63000,209976
2061,37102,76699,0,63000,214191
2062,37632,79332,0,63000,218489
2063,38321,81893,0,63000,222879
2064,39063,84585,0,63000,227452
2065,39767,87245,0,63000,231965
2066,40555,89992,0,63000,236648
2067,41329,92822,0,63000,241405
2068,42105,95708,0,63000,246224
2069,42888,98653,0,63000,251104
2070,43659,101652,0,63000,256037
2071,44440,104717,0,63000,261048
2072,45231,107858,0,63000,266147
2073,46024,111085,0,63000,271333
2074,46745,114472,0,63000,276616
2075,47653,117852,0,63000,282082
2076,48480,121342,0,63000,287580
2077,49343,124928,0,63000,293212
2078,50269,128574,0,63000,298968
2079,51271,132283,0,63000,304863
2080,52347,136042,0,63000,310894
2081,53465,139867,0,63000,317039
2082,54610,143776,0,63000,323289
2083,55748,147776,0,63000,329649
2084,56928,151856,0,63000,336030
2085,57975,156099,0,63000,342691
2086,59250,160408,0,63000,349387
2087,60442,164824,0,63000,356198
2088,61895,169363,0,63000,363397
2089,63118,174038,0,63000,370505
2090,64271,178841,0,63000,377613
2091,65901,183756,0,63000,385495
2092,67697,188774,0,63000,393527
2093,69483,193906,0,63000,401785
2094,70350,199131,0,63000,409033
2095,72688,204409,0,63000,417979
2096,74236,209916,0,63000,426277
2097,76064,215518,0,63000,435013
2098,77590,221422,0,63000,443491
2099,79151,227340,0,63000,452411
2100,80797,233268,0,63000,461322
